username,filename,name,description,image
xmp3,adele,Adele,Artist,adele.jpeg
xmp3,akon,Akon,Artist,akon.jpeg
xmp3,alan_walker,Alan Walker,Artist,alan_walker.jpeg
xmp3,alok,Alok,Artist,alok.jpeg
xmp3,alphaville,Alphaville,Artist,alphaville.jpeg
xmp3,arctic_monkeys,Arctic Monkeys,Artist,arctic_monkeys.jpeg
xmp3,avicii,Avicii,Artist,avicii.jpeg
xmp3,bee_gees,Bee Gees,Artist,bee_gees.jpeg
xmp3,bon_jovi,Bon Jovi,Artist,bon_jovi.jpeg
xmp3,bruno_mars,Bruno Mars,Artist,bruno_mars.jpeg
xmp3,bryan_adams,Bryan Adams,Artist,bryan_adams.jpeg
xmp3,calvin_harris,Calvin Harris,Artist,calvin_harris.jpeg
xmp3,coldplay,Coldplay,Artist,coldplay.jpeg
xmp3,cristiano_araujo,Cristiano Araújo,Artist,cristiano_araujo.jpeg
xmp3,cyndi_lauper,Cyndi Lauper,Artist,cyndi_lauper.jpeg
xmp3,djavan,Djavan,Artist,djavan.jpeg
xmp3,ed_sheeran,Ed Sheeran,Artist,ed_sheeran.jpeg
xmp3,eminem,Eminem,Artist,eminem.jpeg
xmp3,europe,Europe,Artist,europe.jpeg
xmp3,evanescence,Evanescence,Artist,evanescence.jpeg
xmp3,george_michael,George Michael,Artist,george_michael.jpeg
xmp3,gotye,Gotye,Artist,gotye.jpeg
xmp3,guilherme_arantes,Guilherme Arantes,Artist,guilherme_arantes.jpeg
xmp3,guns_n_roses,Guns N' Roses,Artist,guns_n_roses.jpeg
xmp3,gusttavo_lima,Gusttavo Lima,Artist,gusttavo_lima.jpeg
xmp3,harry_styles,Harry Styles,Artist,harry_styles.jpeg
xmp3,imagine_dragons,Imagine Dragons,Artist,imagine_dragons.jpeg
xmp3,jorge_vercillo,Jorge Vercillo,Artist,jorge_vercillo.jpeg
xmp3,justin_bieber,Justin Bieber,Artist,justin_bieber.jpeg
xmp3,justin_timberlake,Justin Timberlake,Artist,justin_timberlake.jpeg
xmp3,keane,Keane,Artist,keane.jpeg
xmp3,lagum,Lagum,Artist,lagum.jpeg
xmp3,legiao_urbana,Legião Urbana,Artist,legiao_urbana.jpeg
xmp3,lewis_capaldi,Lewis Capaldi,Artist,lewis_capaldi.jpeg
xmp3,linkin_park,Linkin Park,Artist,linkin_park.jpeg
xmp3,lionel_richie,Lionel Richie,Artist,lionel_richie.jpeg
xmp3,luan_santana,Luan Santana,Artist,luan_santana.jpeg
xmp3,maroon_5,Maroon 5,Artist,maroon_5.jpeg
xmp3,marshmello,Marshmello,Artist,marshmello.jpeg
xmp3,michael_jackson,Michael Jackson,Artist,michael_jackson.jpeg
xmp3,nirvana,Nirvana,Artist,nirvana.jpeg
xmp3,nocopyrightsounds,NoCopyrightSounds,Playlist,nocopyrightsounds.jpeg
xmp3,paul_young,Paul Young,Artist,paul_young.jpeg
xmp3,queen,Queen,Artist,queen.jpeg
xmp3,raca_negra,Raça Negra,Artist,raca_negra.jpeg
xmp3,radiohead,Radiohead,Artist,radiohead.jpeg
xmp3,renato_russo,Renato Russo,Artist,renato_russo.jpeg
xmp3,renno,Renno,Artist,renno.jpeg
xmp3,rick_astley,Rick Astley,Artist,rick_astley.jpeg
xmp3,rick_james,Rick James,Artist,rick_james.jpeg
xmp3,roxette,Roxette,Artist,roxette.jpeg
xmp3,sean_kingston,Sean Kingston,Artist,sean_kingston.jpeg
xmp3,spandau_ballet,Spandau Ballet,Artist,spandau_ballet.jpeg
xmp3,stevie_wonder,Stevie Wonder,Artist,stevie_wonder.jpeg
xmp3,survivor,Survivor,Artist,survivor.jpeg
xmp3,tarcisio_do_acordeon,Tarcísio do Acordeon,Artist,tarcisio_do_acordeon.jpeg
xmp3,tears_for_fears,Tears For Fears,Artist,tears_for_fears.jpeg
xmp3,the_beatles,The Beatles,Artist,the_beatles.jpeg
xmp3,the_chainsmokers,The Chainsmokers,Artist,the_chainsmokers.jpeg
xmp3,the_jackson_5,The Jackson 5,Artist,the_jackson_5.jpeg
xmp3,the_jacksons,The Jacksons,Artist,the_jacksons.jpeg
xmp3,the_neighbourhood,The Neighbourhood,Artist,the_neighbourhood.jpeg
xmp3,the_outfield,The Outfield,Artist,the_outfield.jpeg
xmp3,the_weeknd,The Weeknd,Artist,the_weeknd.jpeg
xmp3,twenty_one_pilots,Twenty One Pilots,Artist,twenty_one_pilots.jpeg
xmp3,usa_for_africa,U.S.A. For Africa,Artist,usa_for_africa.jpeg
xmp3,ze_vaqueiro,Zé Vaqueiro,Artist,ze_vaqueiro.jpeg
