title,artist,album,cover,file
Blinding Lights,The Weeknd,After Hours,after_hours.webp,blinding_lights.mp3
Heartless,The Weeknd,After Hours,after_hours.webp,heartless.mp3
Starboy,The Weeknd,Starboy,starboy.webp,starboy.mp3
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.webp,cant_feel_my_face.mp3
In The Night,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.webp,in_the_night.mp3
In Your Eyes,The Weeknd,After Hours,after_hours.webp,in_your_eyes.mp3
I Feel It Coming,The Weeknd,Starboy,starboy.webp,i_feel_it_coming.mp3
Out of Time,The Weeknd,Dawn FM,dawn_fm.webp,out_of_time.mp3
Save Your Tears,The Weeknd,After Hours,after_hours.webp,save_your_tears.mp3
Save Your Tears (Remix),"The Weeknd, Ariana Grande",After Hours,save_your_tears_remix.webp,save_your_tears_remix.mp3
Is There Someone Else?,The Weeknd,Dawn FM,dawn_fm.webp,is_there_someone_else.mp3
Die For You,The Weeknd,Starboy,starboy.webp,die_for_you.mp3
Die For You (Remix),"The Weeknd, Ariana Grande",Starboy,die_for_you_remix.webp,die_for_you_remix.mp3
After Hours,The Weeknd,After Hours,after_hours.webp,after_hours.mp3
I Was Never There,The Weeknd,My Dear Melancholy,my_dear_melancholy.webp,i_was_never_there.mp3
Call Out My Name,The Weeknd,My Dear Melancholy,my_dear_melancholy.webp,call_out_my_name.mp3
The Hills,The Weeknd,Beauty Behind The Madness,beauty_behind_the_madness.webp,the_hills.mp3
Creepin',The Weeknd,Heroes & Villains,heroes__villains.webp,creepin.mp3
